 ,VERDURAS E LEGUMES,,,,
,Produto,UND,MAX,MAIS FREQUENTE,MÍNIMO
,ABOBORA,KG,"R$ 3,50","R$3,50","R$ 2,00"
,ABOBRINHA ITALIANA,KG,"R$6,55","R$5,33","R$ 4,00"
,ABOBRINHA TRONCO,KG,"R$ 6,00","R$5,33","R$ 4,00"
,ACELGA,DZ,"R$ 30,00","R$30,00","R$ 25,00"
,AGRIAO,DZ,"R$ 20,00","R$15,00","R$ 12,00"
,AIPO SALSAO,DZ,"R$ 84,00","R$84,00","R$ 78,00"
,ALCACHOFRA,UND,"R$8,57","R$8,57","R$ 8,57"
,ALECRIM,MOL,"R$ 2,50","R$2,00","R$ 1,50"
,ALFACE AMERICANA,DZ,"R$ 30,00","R$25,00","R$ 20,00"
,ALFACE CRESPA,DZ,"R$ 20,00","R$15,00","R$ 15,00"
,ALFACE LISA,DZ,"R$ 20,00","R$15,00","R$ 15,00"
,ALFACE MIMOSA,DZ,"R$ 20,00","R$15,00","R$ 15,00"
,ALHO IMPORTADO,KG,"R$ 19,00","R$18,00","R$ 16,00"
,ALHO MACHO,KG,"R$ 20,00","R$15,00","R$ 15,00"
,ALHO NACIONAL,KG,"R$ 18,00","R$18,00","R$ 12,00"
,ALHO PORO,DZ,"R$ 50,00","R$30,00","R$ 20,00"
,ALMEIRAO / RADITE,DZ,"R$ 30,00","R$20,00","R$ 15,00"
,BATATA BRANCA,KG,"R$ 6,00","R$5,60","R$ 5,40"
,BATATA ROSA,KG,"R$ 5,40","R$5,20","R$ 2,40"
,BATATA-DOCE,KG,"R$ 3,00","R$2,50","R$ 2,25"
,BERINJELA,KG,"R$ 5,00","R$4,00","R$ 3,50"
,BETERRABA,KG,"R$ 4,50","R$4,00","R$ 3,50"
,BETERRABA MOLHO,DZ,"R$ 70,00","R$70,00","R$ 50,00"
,BROCOLIS,DZ,"R$ 70,00","R$60,00","R$ 50,00"
,BROTOS DIVERSOS,KG,"R$ 25,00","R$25,00","R$ 20,00"
,CARA,KG,"R$ 10,67","R$8,00","R$ 8,00"
,CEBOLA IMPORTADA ,KG,"R$ 5,00","R$4,25","R$ 4,00"
,CEBOLA NACIONAL,KG,"R$ 4,50","R$4,00","R$ 1,75"
,CEBOLA ROXA,KG,"R$ 5,50","R$5,00","R$ 4,00"
,CENOURA,KG,"R$ 6,00","R$6,00","R$ 4,50"
,CENOURA BABY,KG,"R$ 24,00","R$ 24,00","R$ 24,00"
,CHEIRO VERDE / TEMPERO,DZ,"R$ 15,00","R$12,00","R$ 10,00"
,CHICORIA,DZ,"R$ 30,00","R$20,00","R$ 20,00"
,CHUCHU,KG,"R$ 3,89","R$2,78","R$ 2,50"
,CHUCHU MINI,KG,"R$ 20,00","R$15,00","R$ 15,00"
,COUVE,DZ,"R$ 20,00","R$18,00","R$ 15,00"
,COUVE CHINESA,DZ,"R$ 60,00","R$45,00","R$ 40,00"
,COUVE-FLOR,DZ,"R$ 70,00","R$60,00","R$ 50,00"
,ENDIVIA,KG,"R$ 60,00","R$60,00","R$ 60,00"
,ERVA DOCE / FUNCHO,DZ,"R$ 90,00","R$84,00","R$ 72,00"
,ERVAS AROMATICAS,MOL,"R$ 3,00","R$2,00","R$ 2,00"
,ERVILHA,KG,"R$ 25,00","R$25,00","R$ 25,00"
,ERVILHA TORTA,KG,"R$50,00","R$50,00","R$50,00"
,ESPINAFRE,DZ,"R$ 30,00","R$25,00","R$ 20,00"
,FAVA,KG,"R$ 16,56","R$16,56","R$ 15,55"
,FLORES COMESTIVEIS,BDJ,"R$ 25,00","R$12,00","R$ 12,00"
,GENGIBRE,KG,"R$ 10,00","R$10,00","R$ 8,33"
,INHAME,KG,"R$ 10,67","R$ 10,56","R$ 7,00"
,LOURO,MOL,"R$ 2,50","R$2,00","R$ 2,00"
,MANDIOCA,KG,"R$ 2,00","R$1,75","R$ 1,50"
,MANDIOQUINHA,KG,"R$ 24,00","R$16,00","R$ 16,00"
,MANJERICAO,MOL,"R$ 3,00","R$2,00","R$ 2,00"
,MANJERONA,MOL,"R$ 3,00","R$2,00","R$ 2,00"
,MAXIXE,KG,"R$ 20,00","R$18,00","R$ 18,00"
,MILHO VERDE (3UN),BDJ,"R$ 5,00","R$4,50","R$ 3,00"
,MOGANGO,KG,"R$ 3,50","R$3,50","R$ 2,50"
,MORANGA AMARELA / VERMELHA,KG,"R$ 2,50","R$2,22","R$ 1,67"
,MORANGA CABOTIA,KG,"R$ 2,83","R$2,78","R$ 2,22"
,MORANGA MINI,KG,"R$ 40,00","R$ 20,00","R$ 15,00"
,MOSTARDA,DZ,"R$ 40,00","R$20,00","R$ 20,00"
,NABO (EM CAIXA OU EM SACO),KG,"R$ 5,00","R$5,00","R$ 3,50"
,NABO (EM MOLHO),DZ,"R$ 40,00","R$40,00","R$ 30,00"
,PEPINO CONSERVA,KG,"R$ 8,33","R$8,33","R$ 5,55"
,PEPINO JAPONES,KG,"R$ 7,78","R$7,78","R$ 5,55"
,PEPINO SALADA,KG,"R$ 6,67","R$6,11","R$ 4,50"
,PIMENTA,KG,"R$ 25,00","R$15,00","R$ 6,00"
,PIMENTAO AMARELO,KG,"R$ 15,00","R$12,00","R$ 12,00"
,PIMENTAO CAPELETI,KG,"R$ 15,00","R$15,00","R$ 15,00"
,PIMENTAO MINI,KG,"R$ 40,00","R$36,00","R$ 36,00"
,PIMENTAO VERDE,KG,"R$ 6,50","R$5,00","R$ 4,50"
,PIMENTAO VERMELHO,KG,"R$ 15,00","R$12,00","R$ 12,00"
,QUIABO,KG,"R$ 18,00","R$18,00","R$ 15,00"
,RABANETE,KG,"R$ 5,00","R$4,00","R$ 3,00"
,RABANETE MOLHO,DZ,"R$ 40,00","R$30,00","R$ 25,00"
