TRAPICHO                 ;COM COBERTURA       ;14088;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
TRATAMENTO DE FUNDO DE SU;NÃO INFORMADO       ;14631;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
TRATAMENTO DE FUNDO DE SU;NÃO INFORMADO       ;14631;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
TRATOR                   ;150 16X16 JOHN DEERE;14056;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;500000,0
TRATOR                   ;125 4X4 JOHN DEERE  ;15184;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;350000,0
TRATOR                   ;345 16X4 JOHN DEERE ;14057;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1700000,0
TRATOR                   ;175 JOHN DEERE 544K-;12770;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
TRATOR                   ;170 JOHN DEERE 6170 ;12769;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;858000,0
TRATOR                   ;270 4X4 JOHN DEERE  ;13400;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1400000,0
TRATOR                   ;75 CÂMBIO 08 MARCHAS;5103;CE        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;270000,0
TRATOR                   ;200                 ;11376;DF        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;950000,0
TRATOR                   ;150 CABINADO, SEM PI;13078;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;620000,0
TRATOR                   ;115 CABINADO, SEM PI;13079;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;530000,0
TRATOR                   ;110 4X4 MASSEY FERGU;13375;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;400000,0
TRATOR                   ;185 4X4 JOHN DEERE 7;10582;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;770000,0
TRATOR                   ;225 4X4 JOHN DEERE 7;10821;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1000000,0
TRATOR                   ;320 JOHN DEERE 8320 ;10310;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1400000,0
TRATOR                   ;140 4X4 VALTRA BH 14;5143;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;600000,0
TRATOR                   ;120 4X4             ;10261;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;550000,0
TRATOR                   ;180 4X4             ;10524;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;620000,0
TRATOR                   ;195 4X4 VALTRA BH 19;14940;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;658000,0
