AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;IPORÁ-GO                                          ;5210208                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;40,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;PIRENÓPOLIS-GO                                    ;5217302                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;45,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;BURITIZEIRO-MG                                    ;3109402                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;CHAPADA GAÚCHA-MG                                 ;3116159                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;NIOAQUE-MS                                        ;5005806                       ;MS        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;50,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;DIORAMA-GO                                        ;5207105                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;42,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;IPORÁ-GO                                          ;5210208                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;40,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;PIRENÓPOLIS-GO                                    ;5217302                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;45,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;BURITIZEIRO-MG                                    ;3109402                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;CHAPADA GAÚCHA-MG                                 ;3116159                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;NIOAQUE-MS                                        ;5005806                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;50,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;DIORAMA-GO                                        ;5207105                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;42,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;IPORÁ-GO                                          ;5210208                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;40,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;PIRENÓPOLIS-GO                                    ;5217302                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;45,0
AMENDOA DE BARU          ;NÃO INFORMADO       ;9597;BURITIZEIRO-MG                                    ;3109402                       ;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
