BATATA-DOCE              ;NÃO INFORMADO       ;9787;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,4
BATATA-DOCE              ;NÃO INFORMADO       ;9787;ARAPIRACA-AL                                      ;2700300                       ;AL        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,72
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CAMPO GRANDE-AL                                   ;2701506                       ;AL        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
BATATA-DOCE              ;NÃO INFORMADO       ;9787;FEIRA GRANDE-AL                                   ;2702603                       ;AL        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,69
BATATA-DOCE              ;NÃO INFORMADO       ;9787;QUEBRANGULO-AL                                    ;2707602                       ;AL        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
BATATA-DOCE              ;NÃO INFORMADO       ;9787;MANAQUIRI-AM                                      ;1302553                       ;AM        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,8
BATATA-DOCE              ;NÃO INFORMADO       ;9787;TEIXEIRA DE FREITAS-BA                            ;2931350                       ;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,65
BATATA-DOCE              ;NÃO INFORMADO       ;9787;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,45
BATATA-DOCE              ;NÃO INFORMADO       ;9787;SANTA MARIA DE JETIBÁ-ES                          ;3204559                       ;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,4
BATATA-DOCE              ;NÃO INFORMADO       ;9787;POUSO ALEGRE-MG                                   ;3152501                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,64
BATATA-DOCE              ;NÃO INFORMADO       ;9787;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,35
