CARNE DE FRANGO          ;CONGELADO           ;4244;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,57
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;9,97
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;10,24
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;VAREJO                                                      ;9,89
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;11,11
CARNE DE FRANGO          ;CONGELADO           ;4244;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;6;ATACADO                                                     ;10,89
CARNE DE FRANGO          ;RESFRIADO           ;4249;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;11,7
CARNE DE FRANGO          ;CONGELADO           ;4244;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;12,45
CARNE DE FRANGO          ;CONGELADO           ;4244;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;6;VAREJO                                                      ;12,53
CARNE DE FRANGO          ;CONGELADO           ;4244;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;6;VAREJO                                                      ;11,07
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;6;ATACADO                                                     ;11,27
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;10,3
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;VAREJO                                                      ;11,01
CARNE DE FRANGO          ;CONGELADO           ;4244;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;7;VAREJO                                                      ;10,37
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;9,87
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;ATACADO                                                     ;9,75
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;VAREJO                                                      ;9,61
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;11,12
CARNE DE FRANGO          ;CONGELADO           ;4244;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;7;ATACADO                                                     ;10,62
CARNE DE FRANGO          ;CONGELADO           ;4244;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;12,71
CARNE DE FRANGO          ;RESFRIADO           ;4249;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;12,03
CARNE DE FRANGO          ;CONGELADO           ;4244;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;7;VAREJO                                                      ;12,19
CARNE DE FRANGO          ;CONGELADO           ;4244;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;7;VAREJO                                                      ;12,3
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;7;ATACADO                                                     ;11,65
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;VAREJO                                                      ;10,2
CARNE DE FRANGO          ;CONGELADO           ;4244;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;9,93
CARNE DE FRANGO          ;CONGELADO           ;4244;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;8;VAREJO                                                      ;9,96
CARNE DE FRANGO          ;CONGELADO           ;4244;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;9,91
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;VAREJO                                                      ;8,86
CARNE DE FRANGO          ;CONGELADO           ;4244;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;8;ATACADO                                                     ;9,36
CARNE DE FRANGO          ;CONGELADO           ;4244;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;11,29
