MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
MUDA DE CANA             ;NÃO INFORMADO       ;12758;CORURIPE-AL                                       ;2702306                       ;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,2
MUDA DE CANA             ;CANA-DE-AÇÚCAR TARDI;12759;PENÁPOLIS-SP                                      ;3537305                       ;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,25
MUDA DE CITRUS           ;TANGERINA           ;11706;CERRO AZUL-PR                                     ;4105201                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;19,2
MUDA DE CITRUS           ;TANGERINA           ;11706;MONTENEGRO-RS                                     ;4312401                       ;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;13,0
MUDA DE CITRUS           ;NÃO INFORMADO       ;5874;RIO REAL-BA                                       ;2927002                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;8,9
MUDA DE CITRUS           ;LARANJA VALÊNCIA    ;11697;LIBERATO SALZANO-RS                               ;4311601                       ;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,33
MUDA DE CITRUS           ;CERTIFICADA LARANJA ;11541;ITÁPOLIS-SP                                       ;3522703                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,33
MUDA DE CITRUS           ;CERTIFICADA LARANJA ;11541;MOJI MIRIM-SP                                     ;3530805                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,33
MUDA DE CITRUS           ;CERTIFICADA LARANJA ;11541;SANTA SALETE-SP                                   ;3547650                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;19,2
MUDA DE ERVA MATE EM TUBE;NÃO INFORMADO       ;13107;ILÓPOLIS-RS                                       ;4310306                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;1,6
