BOTA                     ;SETE LÉGUAS         ;11612;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;60,0
BOTA                     ;SETE LÉGUAS         ;11612;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;68,0
BOTA                     ;SETE LÉGUAS         ;11612;AP        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;69,0
BOTA                     ;SETE LÉGUAS         ;11612;CE        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;COURO               ;12421;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;COURO               ;12421;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;50,0
BOTA                     ;SETE LÉGUAS         ;11612;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;94,0
BOTA                     ;DE CANO LONGO       ;12414;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;77,0
BOTA                     ;SETE LÉGUAS         ;11612;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;COURO BRACOL        ;13890;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;59,9
BOTA                     ;NÃO INFORMADO       ;8763;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;COURO               ;12421;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;69,95
BOTA                     ;SETE LÉGUAS         ;11612;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;100,0
BOTA                     ;SETE LÉGUAS         ;11612;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;100,0
BOTA                     ;DE BORRACHA         ;13157;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
BOTA                     ;SETE LÉGUAS         ;11612;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
BOTIJAO DE GAS 13 KG     ;NÃO INFORMADO       ;8021;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;163,0
BOTINA                   ;NÃO INFORMADO       ;12285;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTINA                   ;NÃO INFORMADO       ;12285;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOTINA                   ;MARLUVAS            ;13156;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;NÃO INFORMADO       ;5899;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,45
BOVINO / EQUINO / MUARES ;COM DIARISTA        ;8092;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;NÃO INFORMADO       ;5899;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;COM CARROÇA         ;13248;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;COM CARROÇA         ;13248;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;NÃO INFORMADO       ;5899;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;COM CARROÇA         ;13248;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;COM CARROÇA         ;13248;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
BOVINO / EQUINO / MUARES ;COM CARROÇA         ;13248;AL        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
BRAVONIL                 ;720 G/L             ;13938;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;39,33
BRAVONIL                 ;500.0 500 G/L ISOFTA;7211;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;53,61
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;47,9
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;36,0
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;37,89
BRAVONIL                 ;NÃO INFORMADO       ;7210;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;33,98
BRAVONIL                 ;NÃO INFORMADO       ;7210;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;115,8
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;29,0
BRAVONIL                 ;720 G/L             ;13938;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;39,33
BRAVONIL                 ;500.0 500 G/L ISOFTA;7211;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;52,81
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;46,85
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;40,0
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;36,77
BRAVONIL                 ;NÃO INFORMADO       ;7210;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;29,0
BRAVONIL                 ;720 G/L CLOROTALONIL;10782;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;29,0
BRAVONIL                 ;720 G/L             ;13938;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;33,57
BRAVONIL                 ;500.0 500 G/L ISOFTA;7211;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;55,38
