SOMBRERO                 ;600 G/L IMIDACLOPRID;12081;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;100,3
SOMBRERO                 ;600 G/L IMIDACLOPRID;12081;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;97,35
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,78
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,85
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;ATACADO                                                     ;1,3
SORGO GRANIFERO          ;EM GRÃOS            ;4745;ITABERAÍ-GO                                       ;5210406                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,72
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PARAÚNA-GO                                        ;5216403                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,69
SORGO GRANIFERO          ;EM GRÃOS            ;4745;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,69
SORGO GRANIFERO          ;EM GRÃOS            ;4745;FRUTAL-MG                                         ;3127107                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,88
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PARACATU-MG                                       ;3147006                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,87
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UBERABA-MG                                        ;3170107                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,88
