FLUIL  BPH - REDUTOR DE P;NÃO INFORMADO       ;14817;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;66,0
FLUIL  BPH - REDUTOR DE P;NÃO INFORMADO       ;14817;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;66,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;109,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;290,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;300,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;175,68
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;140,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;142,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;160,3
FLUMYZIN                 ;NÃO INFORMADO       ;7237;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;250,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;394,8
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;225,7
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;105,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;125,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;150,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;173,87
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;117,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;144,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;102,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;100,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;100,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;175,62
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;120,0
FLUMYZIN                 ;500.0 500 G/KG FLUMI;7238;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;175,0
FLUMYZIN                 ;NÃO INFORMADO       ;7237;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;175,0
FLYCONTROL               ;47,5 G/L BEAUVERIA B;13729;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;254,55
FLYCONTROL               ;47,5 G/L BEAUVERIA B;13729;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;310,0
FLYCONTROL               ;47,5 G/L BEAUVERIA B;13729;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;270,95
FLYCONTROL               ;47,5 G/L BEAUVERIA B;13729;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;310,0
FLYCONTROL               ;47,5 G/L BEAUVERIA B;13729;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;194,6
FLYCONTROL               ;47,5 G/L BEAUVERIA B;13729;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;310,0
FOICE                    ;NÃO INFORMADO       ;10650;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;80,0
FOICE                    ;NÃO INFORMADO       ;10650;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;27,5
FOICE                    ;NÃO INFORMADO       ;10650;AP        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;42,0
FOICE                    ;NÃO INFORMADO       ;10650;CE        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;75,0
FOICE                    ;NÃO INFORMADO       ;10650;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;65,0
FOICE                    ;NÃO INFORMADO       ;10650;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;39,9
FOICE                    ;NÃO INFORMADO       ;10650;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;52,64
FOICE                    ;NÃO INFORMADO       ;10650;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;56,9
FOLIAR CALCIO E BORO     ;NÃO INFORMADO       ;11683;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,16
FORMACAO DA MUDA         ;TOMATE 30 DIAS      ;11790;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,13
FORMAO                   ;FORMATO EM L        ;13046;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;75,0
FORMAO                   ;NÃO INFORMADO       ;12984;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;60,0
FORMICIDA EM PO          ;MIREX-S             ;12597;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;22,63
FORMICIDA EM PO          ;MIREX-S             ;12597;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;22,63
FORMICIDA EM PO          ;NÃO INFORMADO       ;10339;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;26,0
FORMICIDA EM PO          ;DIPIL               ;14429;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;8,87
FORMICIDA EM PO          ;MIREX-S             ;12597;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;22,0
FORMICIDA EM PO          ;MIREX-S             ;12597;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,0
FORMICIDA GRANULADO      ;GRÃO VERDE 3 G/KG SU;14344;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;18,04
FORMICIDA GRANULADO      ;NÃO INFORMADO       ;10340;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;25,0
FORMICIDA GRANULADO      ;NÃO INFORMADO       ;10340;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;15,95
FORQUILHA                ;NÃO INFORMADO       ;13914;AM        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,1
FORTENZA                 ;NÃO INFORMADO       ;12864;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2910,0
FORTENZA                 ;NÃO INFORMADO       ;12864;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2950,0
FORUM                    ;WP 500 G/KG DIMETOMO;14200;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;732,5
FOSFITO                  ;NÃO INFORMADO       ;4545;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;33,94
FOSFITO                  ;DE POTÁSSIO         ;14437;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;88,56
FOSFITO                  ;NÃO INFORMADO       ;4545;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;126,0
FOX                      ;175G/L + 150G/L PROT;9765;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;170,0
FOX                      ;175G/L + 150G/L PROT;9765;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;347,0
FOX                      ;175G/L + 150G/L PROT;9765;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;270,0
FOX                      ;175G/L + 150G/L PROT;9765;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;247,61
FOX                      ;175G/L + 150G/L PROT;9765;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;290,0
FOX                      ;175G/L + 150G/L PROT;9765;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;348,13
FOX                      ;175G/L + 150G/L PROT;9765;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;295,0
FOX                      ;175G/L + 150G/L PROT;9765;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;267,08
FOX                      ;175G/L + 150G/L PROT;9765;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;277,33
FOX                      ;175G/L + 150G/L PROT;9765;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;297,05
FOX                      ;175G/L + 150G/L PROT;9765;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;170,0
FOX                      ;175G/L + 150G/L PROT;9765;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;250,0
FOX                      ;175G/L + 150G/L PROT;9765;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;204,48
FOX                      ;175G/L + 150G/L PROT;9765;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;249,15
FOX                      ;175G/L + 150G/L PROT;9765;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;220,0
FOX                      ;175G/L + 150G/L PROT;9765;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;347,64
FOX                      ;175G/L + 150G/L PROT;9765;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;298,0
FOX                      ;175G/L + 150G/L PROT;9765;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;239,5
FOX                      ;175G/L + 150G/L PROT;9765;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;265,0
FOX                      ;175G/L + 150G/L PROT;9765;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;259,03
FOX                      ;175G/L + 150G/L PROT;9765;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;360,0
FOX                      ;175G/L + 150G/L PROT;9765;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;348,13
FOX                      ;175G/L + 150G/L PROT;9765;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;285,0
FOX                      ;175G/L + 150G/L PROT;9765;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;348,13
FOX XPRO                 ;NÃO INFORMADO       ;12503;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;300,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;279,0
FOX XPRO                 ;NÃO INFORMADO       ;12503;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;317,9
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;221,51
FOX XPRO                 ;NÃO INFORMADO       ;12503;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;265,0
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;329,02
FOX XPRO                 ;SC 125 + 175 + 150 G;12504;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;291,15
