LUVAS DE RASPA           ;NÃO INFORMADO       ;14081;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
LUVAS LATEX DESCARTAVEIS ;NÃO INFORMADO       ;8864;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;23,0
LUVAS NITRILICAS         ;NÃO INFORMADO       ;15228;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;CE        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;DF        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SE        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PE        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PR        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;CE        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;DF        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SC        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;AL        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;AM        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;ES        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PB        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
M2                       ;NÃO INFORMADO       ;7407;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
MACA                     ;FUJI                ;6961;PR        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,58
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,68
MACA                     ;FUJI                ;6961;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,96
MACA                     ;GALA                ;6962;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,9
MACA                     ;FUJI                ;6961;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,58
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,59
MACA                     ;FUJI                ;6961;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,11
MACA                     ;GALA                ;6962;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,04
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,65
MACA                     ;GALA                ;6962;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,04
MACA                     ;FUJI                ;6961;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,11
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,65
MACA                     ;FUJI                ;6961;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,11
MACA                     ;GALA                ;6962;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,04
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,38
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,38
MACA                     ;GALA                ;6962;RS        ;SUL            ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,38
MACA                     ;GALA                ;6962;RS        ;SUL            ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,5
MACA                     ;FUJI                ;6961;PR        ;SUL            ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,69
MACA                     ;GALA                ;6962;PR        ;SUL            ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,03
MACA                     ;GALA                ;6962;RS        ;SUL            ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,17
MACA                     ;FUJI                ;6961;PR        ;SUL            ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,69
MACA                     ;GALA                ;6962;PR        ;SUL            ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,03
MACA                     ;GALA                ;6962;RS        ;SUL            ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,87
MACA                     ;GALA                ;6962;RS        ;SUL            ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,64
