NATUR'L OLEO             ;930 ML/L ÓLEO VEGETA;10534;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;18,72
NATUR'L OLEO             ;930 ML/L ÓLEO VEGETA;10534;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;18,72
NEMAT                    ;MICROBIOLÓGICO 300 G;13571;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;186,39
NEMAT                    ;MICROBIOLÓGICO 300 G;13571;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;184,01
NEMAT                    ;MICROBIOLÓGICO 300 G;13571;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;188,09
NEXIDE                   ;CS 150 G/L GAMA CIAL;10133;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;448,76
NHT MANGANES             ;GRUPO BIO SOJA      ;13953;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;41,0
NHT MANGANES             ;GRUPO BIO SOJA      ;13953;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;38,0
NHT MANGANES             ;GRUPO BIO SOJA      ;13953;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,0
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;89,24
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;115,0
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;88,53
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;115,0
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;92,84
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;115,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;10,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;18,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;29,3
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;37,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,57
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;19,54
NIMBUS                   ;NÃO INFORMADO       ;7310;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;23,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;21,5
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;10,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;32,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;30,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,49
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;50,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,19
NIMBUS                   ;NÃO INFORMADO       ;7310;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,74
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;10,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;35,18
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,5
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;23,31
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;27,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,04
NITRABOR                 ;NÃO INFORMADO       ;12798;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;3,94
NITRABOR                 ;NÃO INFORMADO       ;12798;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,9
NITRABOR                 ;NÃO INFORMADO       ;12798;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,2
NITRAL                   ;NITRAL URBANA BECKER;7151;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
NITRAL                   ;NITRAL URBANA BECKER;7151;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
NITRAL                   ;NITRAL URBANA BECKER;7151;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;5,8
NITRATO DE CALCIO        ;MANGA ADUBO FOLIAR G;13199;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,9
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,16
NITRATO DE CALCIO        ;MANGA ADUBO FOLIAR G;13199;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,92
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,89
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,44
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,6
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,32
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,0
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,86
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;RO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,86
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,93
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;65,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;12,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3,29
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;14,16
NITRATO DE POTASSIO      ;MISTA MANGA ADUBO FO;13200;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;7,2
NITRATO DE POTASSIO      ;MISTA MANGA ADUBO FO;13200;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;9,8
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;64,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;15,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,38
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;14,3
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;60,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,64
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;15,1
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;13,0
NIVEL LASER              ;NÃO INFORMADO       ;7868;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
NIVEL LASER              ;NÃO INFORMADO       ;7868;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
