PAPEL                    ;LARANJA PROTEÇÃO DE ;12573;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;0,43
PAPEL 1 KG               ;NÃO INFORMADO       ;12661;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,07
PAQUIMETRO               ;NÃO INFORMADO       ;13158;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;65,0
PARA BROCA DA CANA - COTE;NÃO INFORMADO       ;14639;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;7,9
PARA BROCA DA CANA - COTE;NÃO INFORMADO       ;14639;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;7,9
PASSAGEM DE ONIBUS PARA  ;NÃO INFORMADO       ;13894;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,0
PATIO DE DESCONTAMINACAO ;NÃO INFORMADO       ;10160;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;234250,0
PATIO DE DESCONTAMINACAO ;NÃO INFORMADO       ;10160;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;230000,0
PATIO DE DESCONTAMINACAO ;NÃO INFORMADO       ;10160;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;230000,0
PECONHEIRO               ;50 G/KG             ;12273;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;55,0
PEDRA                    ;PARA APOIO DE ESTRUT;14316;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;13,32
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;35,0
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;43,92
PEDRA DE AMOLAR          ;NÃO INFORMADO       ;8667;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;45,0
