FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;6;ATACADO                                                     ;5,29
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;6;VAREJO                                                      ;5,45
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;6;VAREJO                                                      ;5,65
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,21
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;6;VAREJO                                                      ;5,64
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;6;ATACADO                                                     ;4,88
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;6;VAREJO                                                      ;5,85
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;6;ATACADO                                                     ;4,51
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;6;VAREJO                                                      ;4,45
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;6;ATACADO                                                     ;3,87
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;6;VAREJO                                                      ;4,93
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,35
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;6;VAREJO                                                      ;5,16
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;3,74
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;3,94
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;VAREJO                                                      ;3,62
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;ATACADO                                                     ;3,7
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;4,73
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;3,35
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;6;VAREJO                                                      ;4,75
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,54
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;VAREJO                                                      ;4,36
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;3,87
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;4,92
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;4,04
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;3,93
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;4,04
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;6;ATACADO                                                     ;4,49
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;6;VAREJO                                                      ;4,64
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,2
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;6;VAREJO                                                      ;4,52
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;6;VAREJO                                                      ;4,9
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;4,44
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,62
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;6;ATACADO                                                     ;5,12
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;6;VAREJO                                                      ;5,43
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;6;VAREJO                                                      ;4,09
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;6;ATACADO                                                     ;3,66
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;6;VAREJO                                                      ;4,58
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;6;ATACADO                                                     ;3,98
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;6;VAREJO                                                      ;5,14
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;6;VAREJO                                                      ;5,12
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,44
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;6;VAREJO                                                      ;5,72
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;6;ATACADO                                                     ;6,38
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;6;VAREJO                                                      ;4,58
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;6;VAREJO                                                      ;6,32
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BOA VISTA-RR                                      ;1400100                       ;RR        ;NORTE          ;2025;6;ATACADO                                                     ;4,24
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;6;ATACADO                                                     ;3,87
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO ALEGRE-RS                                   ;4314902                       ;RS        ;SUL            ;2025;6;VAREJO                                                      ;4,03
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;6;VAREJO                                                      ;4,15
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO JOSÉ-SC                                       ;4216602                       ;SC        ;SUL            ;2025;6;ATACADO                                                     ;3,55
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;6;ATACADO                                                     ;4,18
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;ARACAJU-SE                                        ;2800308                       ;SE        ;NORDESTE       ;2025;6;VAREJO                                                      ;5,25
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;VAREJO                                                      ;4,79
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;3,5
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO PAULO-SP                                      ;3550308                       ;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;3,72
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;6;ATACADO                                                     ;5,46
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;6;VAREJO                                                      ;5,74
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;PALMAS-TO                                         ;1721000                       ;TO        ;NORTE          ;2025;6;VAREJO                                                      ;7,25
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;7;VAREJO                                                      ;5,41
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;7;ATACADO                                                     ;5,26
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;7;VAREJO                                                      ;5,61
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,2
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;7;ATACADO                                                     ;4,65
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;7;VAREJO                                                      ;5,91
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;7;VAREJO                                                      ;5,88
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;7;ATACADO                                                     ;4,55
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;7;ATACADO                                                     ;3,72
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,4
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,73
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,99
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,34
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;3,22
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;3,27
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;ATACADO                                                     ;3,6
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;VAREJO                                                      ;3,58
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;4,56
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;3,37
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,6
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,43
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;VAREJO                                                      ;4,36
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;7;ATACADO                                                     ;3,99
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;4,96
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;4,07
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;3,86
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;7;VAREJO                                                      ;3,97
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;7;ATACADO                                                     ;4,66
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;7;VAREJO                                                      ;4,83
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,29
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,85
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,56
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,05
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,3
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;7;ATACADO                                                     ;5,25
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;7;VAREJO                                                      ;5,46
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;7;VAREJO                                                      ;3,98
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;7;ATACADO                                                     ;3,69
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;7;VAREJO                                                      ;4,62
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;7;ATACADO                                                     ;4,1
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;ATACADO                                                     ;4,29
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;VAREJO                                                      ;4,93
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;7;VAREJO                                                      ;5,2
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;VAREJO                                                      ;4,91
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;VAREJO                                                      ;3,74
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE          ;2025;7;ATACADO                                                     ;3,73
