GAMIT                    ;500 G/L CLOMAZONA IS;4039;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;58,0
GAMIT                    ;NÃO INFORMADO       ;5615;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;144,0
GAMIT                    ;NÃO INFORMADO       ;5615;UMUARAMA-PR                                       ;4128104                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;66,0
GAMIT                    ;500 G/L CLOMAZONA IS;4039;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;39,0
GAMIT                    ;NÃO INFORMADO       ;5615;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;149,3
GAMIT                    ;NÃO INFORMADO       ;5615;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;149,3
GAMIT                    ;500 G/L CLOMAZONA IS;4039;IVINHEMA-MS                                       ;5004700                       ;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;54,28
GAMIT                    ;NÃO INFORMADO       ;5615;UMUARAMA-PR                                       ;4128104                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;78,0
GAMIT                    ;NÃO INFORMADO       ;5615;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;149,3
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;110,0
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;106,0
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;SANTO ANTÔNIO DA PATRULHA-RS                      ;4317608                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;103,0
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;110,0
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;RESTINGA SECA-RS                                  ;4315503                       ;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;85,0
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;99,33
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;PELOTAS-RS                                        ;4314407                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;95,67
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;SANTO ANTÔNIO DA PATRULHA-RS                      ;4317608                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;93,67
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;99,33
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;97,0
GAMIT 360 CS             ;CS 360 G/L CLOMAZINE;10506;URUGUAIANA-RS                                     ;4322400                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;102,0
GAMIT STAR               ;800 G/L S-METOLACLOR;10097;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;111,6
GAMIT STAR               ;800 G/L CLOMAZONA FM;13299;PENÁPOLIS-SP                                      ;3537305                       ;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;82,9
GAMIT STAR               ;800 G/L CLOMAZONA FM;13299;PIRACICABA-SP                                     ;3538709                       ;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;82,4
GAMIT STAR               ;800 G/L S-METOLACLOR;10097;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;110,71
GAMIT STAR               ;800 G/L S-METOLACLOR;10097;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;114,99
GANCHO DE COLETA         ;NÃO INFORMADO       ;13160;CONDE-PB                                          ;2504603                       ;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
GANCHO DE COLETA         ;NÃO INFORMADO       ;13160;GOIANÉSIA-GO                                      ;5208608                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;28,0
GARFO DESOPERCULADOR     ;APICULTURA          ;13049;FORMIGA-MG                                        ;3126109                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;40,0
GARFO PARA TRANSPORTE    ;PARA PÁ CARREGADEIRA;12535;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;8000,0
GARFO PARA TRANSPORTE    ;4 PONTAS PARA PÁ CAR;13599;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;33819,0
GARFO PARA TRANSPORTE    ;NÃO INFORMADO       ;8571;SÃO JOAQUIM-SC                                    ;4216503                       ;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2817,0
GARFO PARA TRANSPORTE    ;PARA PÁ CARREGADEIRA;12535;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;8500,0
GARFO PARA TRANSPORTE    ;4 PONTAS PARA PÁ CAR;13599;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;33819,0
GARRAFA                  ;5 L                 ;13165;GOIANÉSIA-GO                                      ;5208608                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;73,5
GASOLINA                 ;NÃO INFORMADO       ;4421;SENA MADUREIRA-AC                                 ;1200500                       ;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,48
GASOLINA                 ;NÃO INFORMADO       ;4421;TARAUACÁ-AC                                       ;1200609                       ;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,8
GASOLINA                 ;NÃO INFORMADO       ;4421;BARCELOS-AM                                       ;1300409                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;10,0
GASOLINA                 ;NÃO INFORMADO       ;4421;BOCA DO ACRE-AM                                   ;1300706                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,69
GASOLINA                 ;NÃO INFORMADO       ;4421;COARI-AM                                          ;1301209                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,99
GASOLINA                 ;NÃO INFORMADO       ;4421;LÁBREA-AM                                         ;1302405                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;8,4
