MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;6;ATACADO                                                     ;10,78
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE          ;2025;6;VAREJO                                                      ;9,62
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;6;ATACADO                                                     ;7,96
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACEIÓ-AL                                         ;2704302                       ;AL        ;NORDESTE       ;2025;6;VAREJO                                                      ;9,2
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;6;VAREJO                                                      ;11,96
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;MANAUS-AM                                         ;1302603                       ;AM        ;NORTE          ;2025;6;ATACADO                                                     ;10,07
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;6;VAREJO                                                      ;9,84
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;MACAPÁ-AP                                         ;1600303                       ;AP        ;NORTE          ;2025;6;ATACADO                                                     ;7,48
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;6;ATACADO                                                     ;7,87
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SALVADOR-BA                                       ;2927408                       ;BA        ;NORDESTE       ;2025;6;VAREJO                                                      ;8,34
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;6;ATACADO                                                     ;9,95
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,32
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;6,19
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;6,24
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;VAREJO                                                      ;6,19
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;ATACADO                                                     ;8,88
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;VAREJO                                                      ;8,82
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;6;ATACADO                                                     ;5,99
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;8,41
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;10,84
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;7,56
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;6;VAREJO                                                      ;8,2
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;SÃO LUÍS-MA                                       ;2111300                       ;MA        ;NORDESTE       ;2025;6;ATACADO                                                     ;8,59
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;VAREJO                                                      ;9,92
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELO HORIZONTE-MG                                 ;3106200                       ;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;8,28
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;9,92
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CAMPO GRANDE-MS                                   ;5002704                       ;MS        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;8,0
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;7,54
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;8,06
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;6;ATACADO                                                     ;8,28
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;6;VAREJO                                                      ;8,18
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;6;VAREJO                                                      ;8,32
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;6;ATACADO                                                     ;9,1
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;7,28
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;6;ATACADO                                                     ;7,12
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;6;ATACADO                                                     ;10,21
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,93
MACARRAO                 ;ESPAGUETE SÊMOLA SEM;13355;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;6;VAREJO                                                      ;7,04
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;6;VAREJO                                                      ;7,56
MACARRAO                 ;ESPAGUETE SÊMOLA COM;11194;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;6;ATACADO                                                     ;6,8
