PICAPE                   ;100 1.4             ;13106;FORMIGA-MG                                        ;3126109                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;95000,0
PICUS                    ;NÃO INFORMADO       ;11977;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;205,49
PICUS                    ;NÃO INFORMADO       ;11977;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;172,0
PICUS                    ;NÃO INFORMADO       ;11977;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;204,91
PICUS                    ;NÃO INFORMADO       ;11977;UBIRATÃ-PR                                        ;4128005                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;204,91
PILHAS                   ;AA                  ;14941;SENA MADUREIRA-AC                                 ;1200500                       ;AC        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,0
PILHAS                   ;AA                  ;14941;MANICORÉ-AM                                       ;1302702                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;28,5
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;VALENÇA-BA                                        ;2932903                       ;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,25
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;JAGUARÉ-ES                                        ;3203056                       ;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,75
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;NOVA VENÉCIA-ES                                   ;3203908                       ;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,75
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;SÃO MATEUS-ES                                     ;3204906                       ;ES        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,25
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BAIÃO-PA                                          ;1501204                       ;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,0
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;CAPITÃO POÇO-PA                                   ;1502301                       ;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;IGARAPÉ-AÇU-PA                                    ;1503200                       ;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,5
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;VALENÇA-BA                                        ;2932903                       ;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,22
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;JAGUARÉ-ES                                        ;3203056                       ;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,99
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;NOVA VENÉCIA-ES                                   ;3203908                       ;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,03
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;SÃO MATEUS-ES                                     ;3204906                       ;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,2
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BAIÃO-PA                                          ;1501204                       ;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,0
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;CAPITÃO POÇO-PA                                   ;1502301                       ;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,96
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;IGARAPÉ-AÇU-PA                                    ;1503200                       ;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,0
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;TOMÉ-AÇU-PA                                       ;1508001                       ;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,0
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;VALENÇA-BA                                        ;2932903                       ;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,33
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;JAGUARÉ-ES                                        ;3203056                       ;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;33,31
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;NOVA VENÉCIA-ES                                   ;3203908                       ;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;34,76
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;SÃO MATEUS-ES                                     ;3204906                       ;ES        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;34,67
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;BAIÃO-PA                                          ;1501204                       ;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,24
PIMENTA DO REINO         ;NÃO INFORMADO       ;5501;CAPITÃO POÇO-PA                                   ;1502301                       ;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,0
