CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,0
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;19,13
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,75
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,29
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,25
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,42
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,11
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;20,45
CARNE CAPRINA            ;DIANTEIRA           ;7917;DF        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,11
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,11
CARNE CAPRINA            ;CARCAÇA             ;7843;PB        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,5
CARNE CAPRINA            ;CARCAÇA             ;7843;PE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,08
CARNE CAPRINA            ;CARCAÇA             ;7843;PI        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,2
CARNE CAPRINA            ;CARCAÇA             ;7843;RN        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,21
CARNE CAPRINA            ;CARCAÇA             ;7843;AL        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;20,97
CARNE CAPRINA            ;CARCAÇA             ;7843;CE        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,0
CARNE CAPRINA            ;TRASEIRA            ;7918;DF        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;35,0
