ESCADA                   ;ALUMÍNIO            ;14082;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;390,0
ESCADA                   ;08 METROS ALUMÍNIO  ;14924;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1850,0
ESCARIFICADOR AGRICOLA   ;7 HASTES            ;12564;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;120000,0
ESCARIFICADOR AGRICOLA   ;9 HASTES            ;14013;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;64500,0
ESCARIFICADOR AGRICOLA   ;7 HASTES            ;12564;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;126000,0
ESCARIFICADOR AGRICOLA   ;9 HASTES            ;14013;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;63500,0
ESCARIFICADOR AGRICOLA   ;7 HASTES            ;12564;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;80000,0
ESCARIFICADOR AGRICOLA   ;9 HASTES            ;14013;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;58000,0
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ESCRITORIO DE ALVENARIA  ;NÃO INFORMADO       ;4396;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
