SEMENTE DE TRITICALE     ;NÃO INFORMADO       ;5322;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3,47
SEMENTE PUERARIA         ;NÃO INFORMADO       ;13230;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;222,0
SENCOR                   ;NÃO INFORMADO       ;5642;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;80,08
SENCOR                   ;480 480 G/L METRIBUZ;4071;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;125,0
SENCOR                   ;480 480 G/L METRIBUZ;4071;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;110,0
SENCOR                   ;480 480 G/L METRIBUZ;4071;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;141,5
SENCOR                   ;NÃO INFORMADO       ;5642;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;80,08
SERRAGEM DE MADEIRA      ;NÃO INFORMADO       ;9653;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,0
SERVICOS DIVERSOS        ;ORGANIZADOR         ;14372;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,15
SERVICOS DIVERSOS        ;AGENCIADOR          ;14373;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;0,02
SERVICOS DIVERSOS        ;CERTIFICAÇÃO        ;13113;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
SETT C2B2                ;NÃO INFORMADO       ;7144;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,16
SILKON                   ;GRUPO BIO SOJA      ;13952;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;58,0
SILKON                   ;GRUPO BIO SOJA      ;13952;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;58,0
SILKON                   ;GRUPO BIO SOJA      ;13952;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;59,0
SILO BAG                 ;60X40 - ARMAZENAGEM ;12330;SE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;0,04
