Categoria,Produto,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
FRUTAS,Abacate Avocado,B,B,B,B,M,M,A,A,A,A,A,B
FRUTAS,Abacate Breda,B,B,B,B,B,B,B,M,A,A,A,M
FRUTAS,Abacate Fortuna,B,B,A,A,A,A,A,M,B,B,B,B
FRUTAS,Abacate Geada,A,A,B,B,B,B,B,B,B,B,B,B
FRUTAS,Abacate Margarida,B,B,B,B,B,M,M,M,A,A,A,A
FRUTAS,Abacate Quintal,B,B,M,A,A,A,A,M,B,B,B,B
FRUTAS,Abacaxi Havai,M,B,B,B,B,A,B,B,B,B,B,M
FRUTAS,Abacaxi Pérola,M,B,M,B,B,B,B,B,M,M,A,A
FRUTAS,Abiu,A,B,B,M,B,B,B,B,M,B,M,M
FRUTAS,Acerola,A,A,A,A,M,B,B,B,M,A,A,A
FRUTAS,Ameixa Imp. Americana,B,B,B,B,B,A,B,B,B,B,B,B
FRUTAS,Ameixa Imp. Argentina,B,M,A,B,B,B,B,B,B,B,B,B
FRUTAS,Ameixa Imp. Chilena,B,A,A,M,B,B,B,B,B,B,B,B
FRUTAS,Ameixa Imp. Espanhola,B,B,B,B,B,B,A,A,A,A,M,B
FRUTAS,Ameixa Nacional,M,M,B,B,B,B,B,B,B,B,M,A
FRUTAS,Ameixa Seca Importada,B,B,B,B,B,A,M,M,M,A,A,A
FRUTAS,Amêndoa Importada,A,B,B,B,B,M,B,B,B,M,M,M
FRUTAS,Amora,B,B,B,B,B,B,B,M,A,M,A,A
FRUTAS,Atemoia,B,B,B,M,A,A,A,A,M,B,B,B
FRUTAS,Avelã,B,B,B,B,B,B,B,A,M,B,B,B
FRUTAS,Banana Maçã,M,M,B,B,B,B,M,A,A,A,A,M
FRUTAS,Banana Nanica,M,M,M,B,A,B,B,M,B,M,M,B
FRUTAS,Banana Ouro,A,A,B,B,B,M,A,B,B,M,M,A
FRUTAS,Banana Prata MG,B,B,M,M,M,M,A,M,M,A,A,M
FRUTAS,Banana Prata SP,M,M,A,B,B,B,M,A,A,B,M,B
FRUTAS,Banana Terra,A,B,M,B,B,B,B,M,M,M,A,A
FRUTAS,Cacau,B,B,A,B,B,B,B,B,B,B,B,B
FRUTAS,Caju,A,B,B,B,B,B,B,B,M,A,B,M
FRUTAS,Caqui Chocolate - Kyoto,B,M,M,A,A,M,M,B,B,B,B,B
FRUTAS,Caqui Fuyu,B,B,A,A,A,A,M,B,B,B,B,B
FRUTAS,Caqui Giombo,B,B,M,A,A,A,B,B,B,B,B,B
FRUTAS,Caqui Rama Forte,B,B,A,A,A,M,B,B,B,B,B,B
FRUTAS,Carambola,A,A,A,M,M,A,A,A,B,B,B,M
FRUTAS,Castanha imp. Portuguesa,B,B,B,B,B,B,B,B,B,B,M,A
FRUTAS,Castanha Nacional,M,B,B,B,B,M,B,B,M,A,M,A
FRUTAS,Cereja Importada,B,B,B,B,B,B,B,B,B,B,B,A
FRUTAS,Coco Verde,A,M,M,B,B,B,B,B,M,M,A,A
FRUTAS,Cupuaçu,A,A,A,A,A,A,A,A,A,A,B,B
FRUTAS,Damasco Importado,B,B,B,B,B,B,B,B,B,B,B,A
FRUTAS,Embu,A,A,B,B,B,B,B,B,B,B,B,B
FRUTAS,Figo,A,A,A,A,M,M,B,B,B,B,B,A
FRUTAS,Framboesa,M,M,A,B,B,B,B,B,B,B,B,B
FRUTAS,Goiaba,M,A,A,M,B,B,B,B,B,B,B,B
FRUTAS,Granadilla Imp Colômbia,M,M,M,A,B,B,B,B,M,M,B,A
FRUTAS,Grapefruit,B,B,M,B,B,B,B,B,B,B,A,M
FRUTAS,Graviola,M,B,B,B,A,B,B,B,B,A,A,B
FRUTAS,Jabuticaba,B,B,B,B,B,B,B,A,M,A,B,B
FRUTAS,Jaca,A,A,A,A,M,B,B,B,B,M,A,A
FRUTAS,Jambo,A,B,B,B,B,B,B,B,M,M,A,M
FRUTAS,Jatobá,B,B,M,B,B,B,B,A,A,B,B,B
FRUTAS,Jenipapo,A,B,B,B,M,B,B,M,B,B,B,B
FRUTAS,Kiwi Gold NZL Importado,B,B,B,B,M,M,A,A,A,A,M,B
FRUTAS,Kiwi Importado,A,A,M,B,B,B,B,B,B,M,M,A
FRUTAS,Kiwi Imp Chile,B,B,B,B,M,M,M,A,A,M,B,B
FRUTAS,Kiwi Imp Itália,A,A,A,M,M,B,B,B,B,B,M,B
FRUTAS,Kiwi Green NZL Importado,B,B,B,B,A,B,M,M,A,M,M,B
FRUTAS,Kiwi Nacional,B,B,M,A,A,A,M,B,B,B,B,B
FRUTAS,Laranja Baia,B,B,B,B,M,M,A,A,A,M,B,B
FRUTAS,Laranja Baia Importada,M,M,A,A,B,B,B,B,B,B,B,M
FRUTAS,Laranja Lima,A,B,B,B,B,B,A,A,A,A,A,B
FRUTAS,Laranja Pera,A,M,M,B,B,B,B,M,M,M,M,M
FRUTAS,Laranja Valência,A,M,M,M,B,B,B,B,M,A,A,A
FRUTAS,Lichia,A,B,B,B,B,B,B,B,B,B,B,A
FRUTAS,Lima Pérsia,B,B,B,B,B,B,M,A,A,A,M,B
FRUTAS,Limão Galego,A,A,M,M,B,B,B,B,B,B,B,B
FRUTAS,Limão Rosa,B,B,B,M,A,A,A,A,A,M,B,B
FRUTAS,Limão Siciliano,M,M,B,B,B,B,M,A,A,A,M,A
FRUTAS,Limão Siciliano Importado,M,M,B,B,B,B,B,B,M,A,A,A
FRUTAS,Limão Taiti,A,M,M,M,B,B,B,B,B,B,M,A
FRUTAS,Longan,B,A,A,M,B,B,B,B,B,B,B,B
FRUTAS,Maçã Eva,A,B,B,B,B,B,B,B,B,B,B,M
FRUTAS,Maçã Fuji,M,B,B,M,A,A,A,A,A,A,A,M
FRUTAS,Maça Fuji Importada,A,B,B,B,B,B,B,B,B,B,B,B
FRUTAS,Maçã Gala,A,M,B,B,B,B,M,M,M,A,A,A
FRUTAS,Maça Gala Importada,B,B,B,B,B,A,A,A,A,A,A,A
FRUTAS,Maçã Golden Del,B,B,B,B,B,A,A,A,A,A,A,A
FRUTAS,Maça Golden Importada,B,B,B,B,B,A,A,A,A,A,A,A
FRUTAS,Maça Granny Smith Importada,B,B,B,B,B,B,B,M,A,A,M,M
FRUTAS,Maça Pink Lady Importada,B,B,B,B,A,M,M,A,A,A,A,M
FRUTAS,Maça Red Del Importada,B,M,A,B,B,B,M,B,B,M,M,M
FRUTAS,Mamão Formosa,A,M,B,M,A,M,M,A,M,M,M,B
FRUTAS,Mamão Havaí,M,M,B,M,M,B,B,B,M,A,A,M
FRUTAS,Manga Bourbon,B,B,B,B,B,B,B,B,B,A,A,A
FRUTAS,Manga Coquinho,B,B,B,B,B,B,B,B,B,M,A,M
FRUTAS,Manga Espada,B,B,B,B,B,B,B,B,B,A,A,B
FRUTAS,Manga Haden,B,B,B,B,B,M,M,M,A,M,A,M
FRUTAS,Manga Keity,M,A,A,A,A,A,A,M,A,A,B,A
FRUTAS,Manga Lolita,B,B,B,B,B,B,B,B,B,M,A,A
FRUTAS,Manga Palmer,A,M,B,B,B,B,B,B,B,M,M,A
FRUTAS,Manga Rosa,M,B,B,M,M,M,M,M,M,A,A,A
FRUTAS,Manga Shelly,B,B,B,B,B,B,B,B,M,A,M,B
FRUTAS,Manga Tommy,B,B,B,B,B,B,A,B,B,M,M,M
FRUTAS,Mangostim,B,B,A,M,B,B,A,A,A,A,B,B
FRUTAS,Maracujá Azedo,M,M,M,M,B,B,M,A,A,A,B,B
FRUTAS,Maracujá Doce,A,B,B,A,A,A,M,M,B,B,B,M
FRUTAS,Melancia Baby,A,M,B,B,B,B,B,M,M,M,A,A
FRUTAS,Melancia,M,M,M,M,B,B,B,B,M,M,M,A
FRUTAS,Melão Amarelo,A,M,B,M,B,B,B,M,M,A,A,A
FRUTAS,Melão Gália,A,M,B,B,B,B,B,M,A,A,A,A
FRUTAS,Melão Net Melon,B,B,B,A,B,B,B,B,B,B,B,B
FRUTAS,Melão Orange,M,M,B,B,B,B,M,M,M,A,A,A
FRUTAS,Melão Pele de Sapo,M,M,M,B,B,B,B,B,B,M,A,A
FRUTAS,Mexerica Mandarina Importada,A,A,A,M,B,M,B,B,M,M,B,B
FRUTAS,Mexerica Rio,B,B,B,B,M,M,A,A,A,M,B,B
FRUTAS,Mirtilo,B,B,B,B,B,B,B,B,M,M,B,A
FRUTAS,Morango Comum,B,B,B,B,B,B,A,A,A,M,M,M
FRUTAS,Nectarina Importada,A,A,A,B,B,B,B,B,B,B,B,M
FRUTAS,Nectarina Imp Argentina,A,B,A,B,B,B,B,B,B,B,B,B
FRUTAS,Nectarina Imp Chile,A,M,A,B,B,B,B,B,B,B,B,A
