UF,Municipio,Mes/Ano de Referencia,Nome do Produto,Categoria,Preco Atual (R$),Preco Referencia Baseline (R$),Status do Semafaro (Cor),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
SP,,2026-07,Abacate Avocado,FRUTAS,4.9700,4.9700,AMARELO,,Nao,Nao
SP,,2026-06,Abacate Avocado,FRUTAS,3.2500,3.2500,AMARELO,,Nao,Nao
SP,,2026-07,Abacate Breda,FRUTAS,2.9600,2.9600,AMARELO,,Nao,Nao
SP,,2026-06,Abacate Breda,FRUTAS,2.7850,2.7850,AMARELO,,Nao,Nao
SP,,2026-06,Abacate Fortuna,FRUTAS,3.2500,3.2500,AMARELO,,Nao,Nao
SP,,2026-07,Abacate Fortuna,FRUTAS,3.0600,3.0600,AMARELO,,Nao,Nao
SP,,2026-06,Abacate Geada,FRUTAS,3.2500,3.2500,AMARELO,,Nao,Nao
SP,,2026-06,Abacate Margarida,FRUTAS,3.2500,3.2500,AMARELO,,Nao,Nao
SP,,2026-07,Abacate Margarida,FRUTAS,2.8600,2.8600,AMARELO,,Nao,Nao
SP,,2026-07,Abacate Quintal,FRUTAS,2.8600,2.8600,AMARELO,,Nao,Nao
SP,,2026-06,Abacate Quintal,FRUTAS,3.2500,3.2500,AMARELO,,Nao,Nao
SP,,2026-05,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2026-04,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2026-03,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2026-02,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2026-01,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2025-12,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2025-11,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2025-10,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2025-09,Abacaxi Havai,FRUTAS,8.6180,10.0827,AMARELO,,Nao,Nao
SP,,2025-08,Abacaxi Havai,FRUTAS,9.7165,10.0827,AMARELO,,Nao,Nao
SP,,2025-07,Abacaxi Havai,FRUTAS,10.8151,10.0827,AMARELO,,Nao,Nao
SP,,2026-06,Abacaxi Pérola,FRUTAS,4.5800,4.5800,AMARELO,,Nao,Nao
SP,,2026-06,Abóbora D´Agua,LEGUMES,2.3500,2.3500,AMARELO,,Nao,Nao
SP,,2026-06,Abóbora Japonesa,LEGUMES,3.0300,3.0300,AMARELO,,Nao,Nao
SP,,2026-07,Abóbora Japonesa,LEGUMES,3.1000,3.1000,AMARELO,,Nao,Nao
SP,,2026-06,Abóbora Moranga,LEGUMES,2.3500,2.3500,AMARELO,,Nao,Nao
SP,,2026-07,Abóbora Moranga,LEGUMES,2.2100,2.2100,AMARELO,,Nao,Nao
SP,,2026-06,Abóbora Paulista,LEGUMES,2.3500,2.3500,AMARELO,,Nao,Nao
SP,,2026-07,Abóbora Paulista,LEGUMES,2.4100,2.4100,AMARELO,,Nao,Nao
SP,,2026-07,Abóbora Seca,LEGUMES,4.0000,4.0000,AMARELO,,Nao,Nao
SP,,2026-06,Abóbora Seca,LEGUMES,2.3500,2.3500,AMARELO,,Nao,Nao
SP,,2026-07,Abobrinha Brasileira,LEGUMES,2.1567,2.1567,AMARELO,,Nao,Nao
SP,,2026-06,Abobrinha Brasileira,LEGUMES,5.5600,5.5600,AMARELO,,Nao,Nao
SP,,2026-06,Abobrinha Italiana,LEGUMES,5.5600,5.5600,AMARELO,,Nao,Nao
SP,,2026-06,Abrótea,PESCADOS,8.2533,8.2533,AMARELO,,Nao,Nao
SP,,2026-07,Abrótea,PESCADOS,8.2133,8.2133,AMARELO,,Nao,Nao
SP,,2026-07,Acelga,VERDURAS,25.7600,25.7600,AMARELO,,Nao,Nao
SP,,2026-06,Acelga,VERDURAS,25.4200,25.4200,AMARELO,,Nao,Nao
SP,,2026-07,Acelga Chinesa,VERDURAS,30.9000,30.9000,AMARELO,,Nao,Nao
SP,,2026-06,Acelga Chinesa,VERDURAS,38.0000,38.0000,AMARELO,,Nao,Nao
SP,,2026-07,Acerola,FRUTAS,22.5000,22.5000,AMARELO,,Nao,Nao
SP,,2026-06,Acerola,FRUTAS,23.6200,23.6200,AMARELO,,Nao,Nao
SP,,2025-06,ACUCAR - CRISTAL,ALIMENTO_VAREJO,4.0600,3.7671,AMARELO,,Nao,Nao
SP,,2025-07,ACUCAR - CRISTAL,ALIMENTO_VAREJO,3.9700,3.7671,AMARELO,,Nao,Nao
SP,,2025-08,ACUCAR - CRISTAL,ALIMENTO_VAREJO,4.0000,3.7671,AMARELO,,Nao,Nao
SP,,2025-09,ACUCAR - CRISTAL,ALIMENTO_VAREJO,3.5700,3.7671,AMARELO,,Nao,Nao
SP,,2025-10,ACUCAR - CRISTAL,ALIMENTO_VAREJO,3.6400,3.7671,AMARELO,,Nao,Nao
SP,,2025-11,ACUCAR - CRISTAL,ALIMENTO_VAREJO,3.5800,3.7671,AMARELO,,Nao,Nao
SP,,2025-12,ACUCAR - CRISTAL,ALIMENTO_VAREJO,3.5500,3.7671,AMARELO,,Nao,Nao
SP,,2026-04,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.0700,4.5543,AMARELO,,Nao,Nao
SP,,2026-03,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.2000,4.5543,AMARELO,,Nao,Nao
SP,,2026-02,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.3800,4.5543,AMARELO,,Nao,Nao
SP,,2026-01,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.5400,4.5543,AMARELO,,Nao,Nao
SP,,2025-12,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.5600,4.5543,AMARELO,,Nao,Nao
SP,,2025-11,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.6300,4.5543,AMARELO,,Nao,Nao
SP,,2025-10,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.7000,4.5543,AMARELO,,Nao,Nao
SP,,2025-09,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.7600,4.5543,AMARELO,,Nao,Nao
SP,,2025-08,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.4700,4.5543,AMARELO,,Nao,Nao
SP,,2025-07,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.4000,4.5543,AMARELO,,Nao,Nao
SP,,2025-06,ACUCAR - REFINADO,ALIMENTO_VAREJO,4.3600,4.5543,AMARELO,,Nao,Nao
SP,,2026-07,Agrião,VERDURAS,66.0100,66.0100,AMARELO,,Nao,Nao
SP,,2026-06,Agrião,VERDURAS,65.0500,65.0500,AMARELO,,Nao,Nao
SP,,2026-07,Agrião Hidropônico,VERDURAS,35.3100,35.3100,AMARELO,,Nao,Nao
SP,,2026-06,Agrião Hidropônico,VERDURAS,37.3800,37.3800,AMARELO,,Nao,Nao
SP,,2026-07,Alcachofra,LEGUMES,32.7900,32.7900,AMARELO,,Nao,Nao
SP,,2026-06,Alcachofra,LEGUMES,24.4000,24.4000,AMARELO,,Nao,Nao
SP,,2026-06,Alecrim,VERDURAS,5.3000,5.3000,AMARELO,,Nao,Nao
SP,,2026-07,Alecrim,VERDURAS,5.8200,5.8200,AMARELO,,Nao,Nao
SP,,2026-06,Alface Americana,VERDURAS,30.0000,30.0000,AMARELO,,Nao,Nao
SP,,2026-07,Alface Americana,VERDURAS,36.2860,36.2860,AMARELO,,Nao,Nao
SP,,2026-06,Alface Crespa,VERDURAS,30.0000,30.0000,AMARELO,,Nao,Nao
SP,,2026-07,Alface Crespa Hidropônica,VERDURAS,38.0200,38.0200,AMARELO,,Nao,Nao
SP,,2026-06,Alface Crespa Hidropônica,VERDURAS,39.8400,39.8400,AMARELO,,Nao,Nao
SP,,2026-06,Alface Lisa,VERDURAS,30.0000,30.0000,AMARELO,,Nao,Nao
SP,,2026-06,Alface Lisa Hidropônica,VERDURAS,40.3100,40.3100,AMARELO,,Nao,Nao
SP,,2026-07,Alface Lisa Hidropônica,VERDURAS,41.0800,41.0800,AMARELO,,Nao,Nao
SP,,2026-06,Alface Mimosa,VERDURAS,30.6700,30.6700,AMARELO,,Nao,Nao
SP,,2026-06,Alface Mimosa Hidropônica,VERDURAS,38.9100,38.9100,AMARELO,,Nao,Nao
SP,,2026-07,Alface Mimosa Hidropônica,VERDURAS,38.8200,38.8200,AMARELO,,Nao,Nao
SP,,2026-06,Alface Romana,VERDURAS,30.0000,30.0000,AMARELO,,Nao,Nao
SP,,2026-07,Alface Romana,VERDURAS,40.5500,40.5500,AMARELO,,Nao,Nao
SP,,2026-06,Alface Romana Hidropônica,VERDURAS,30.0000,30.0000,AMARELO,,Nao,Nao
SP,,2026-06,Alfavaca,VERDURAS,5.3200,5.3200,AMARELO,,Nao,Nao
SP,,2026-07,Alfavaca,VERDURAS,6.0000,6.0000,AMARELO,,Nao,Nao
SP,,2026-06,Alho Importado,ALIMENTO_VAREJO,18.0000,18.0000,AMARELO,,Nao,Nao
SP,,2026-06,Alho Importado Argentina,ALIMENTO_VAREJO,18.0000,18.0000,AMARELO,,Nao,Nao
SP,,2026-07,Alho Importado Argentina,ALIMENTO_VAREJO,16.5000,16.5000,AMARELO,,Nao,Nao
SP,,2026-06,Alho Importado China,ALIMENTO_VAREJO,18.0000,18.0000,AMARELO,,Nao,Nao
SP,,2026-07,Alho Importado Estados Unidos,ALIMENTO_VAREJO,16.5000,16.5000,AMARELO,,Nao,Nao
SP,,2026-06,Alho Importado Estados Unidos,ALIMENTO_VAREJO,15.8300,15.8300,AMARELO,,Nao,Nao
SP,,2026-06,Alho Nacional,ALIMENTO_VAREJO,18.0000,18.0000,AMARELO,,Nao,Nao
