ID Produto,Categoria,Nome do Produto,UF,Municipio,Mes/Ano Referencia,Preco Atual (R$),Preco Referencia (Baseline - R$),Divergencia Matematica (%),Status do Semafaro (Cor no DB),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
866,HORTIFRUTIGRANJEIROS,BANANA - PRATA,SP,,2026-05,0.9000,2.3000,-60.87,VERDE,QUEDA,Nao,Nao
1079,HORTIFRUTIGRANJEIROS,Batata Doce Roxa,SP,,2026-04,94.3750,94.3750,0.00,AMARELO,,Nao,Nao
832,ALIMENTO_VAREJO,FLOCOS DE MILHO - PRE-COZIDO,PI,TERESINA-PI,2025-10,3.4300,3.4900,-1.72,AMARELO,,Nao,Nao
759,HORTIFRUTIGRANJEIROS,TOMATE - NÃO INFORMADO,SE,,2025-09,1.1100,2.5100,-55.78,VERDE,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,RS,MARAU-RS,2025-11,2.1600,2.2886,-5.62,AMARELO,,Nao,Nao
794,HORTIFRUTIGRANJEIROS,BANANA - NANICA,SC,LUIZ ALVES-SC,2025-07,0.9200,1.6929,-45.66,VERDE,,Nao,Nao
756,CEREAIS_GRAOS,FARINHA DE MANDIOCA - D'ÁGUA AMARELA,AM,,2025-09,5.1600,4.9775,3.67,AMARELO,,Nao,Nao
792,ALIMENTO_VAREJO,OLEO DE SOJA - REFINADO,TO,,2025-11,8.7400,8.7157,0.28,AMARELO,,Nao,Nao
767,PROTEINAS,CARNE BOVINA - DIANTEIRO COM OSSO,CE,FORTALEZA-CE,2025-12,20.0000,20.4257,-2.08,AMARELO,,Nao,Nao
835,HORTIFRUTIGRANJEIROS,LARANJA - INDÚSTRIA PERA,BA,RIO REAL-BA,2025-06,0.9000,0.6571,36.97,VERMELHO,,Nao,Nao
779,ALIMENTO_VAREJO,MACA - GALA,SC,,2025-09,3.0400,3.0050,1.16,AMARELO,,Nao,Nao
865,PROTEINAS,LEITE DE VACA - IN NATURA,MG,SÃO SEBASTIÃO DO PARAÍSO-MG,2025-06,3.1700,2.9529,7.35,AMARELO,,Nao,Nao
858,PROTEINAS,CARNE BOVINA - COXÃO DURO S/OSSO,AM,MANAUS-AM,2025-11,37.8600,38.4100,-1.43,AMARELO,,Nao,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,MA,SÃO LUÍS-MA,2025-12,18.4800,19.0029,-2.75,AMARELO,,Nao,Nao
913,PROTEINAS,CARNE SUINA - PERNIL COM OSSO CONG,SP,SÃO PAULO-SP,2025-12,18.0000,19.2729,-6.60,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,MT,SAPEZAL-MT,2025-12,0.8100,0.7414,9.25,AMARELO,,Nao,Nao
857,CEREAIS_GRAOS,FARINHA DE TRIGO - SEM FERMENTO,PI,,2025-11,5.0100,5.0457,-0.71,AMARELO,,Nao,Nao
934,HORTIFRUTIGRANJEIROS,Alface Romana,BR,"",2026-06,26.8000,26.8000,0.00,AMARELO,,Sim,Nao
864,ALIMENTO_VAREJO,PAO - FRANCÊS,PI,TERESINA-PI,2026-04,19.8400,19.8671,-0.14,AMARELO,,Nao,Nao
933,HORTIFRUTIGRANJEIROS,Abóbora Japonesa,RS,,2026-07,2.4100,2.9550,-18.44,VERDE,,Sim,Nao
1105,HORTIFRUTIGRANJEIROS,Uva Isis,SP,,2026-06,10.0000,11.6950,-14.49,AMARELO,,Sim,Nao
908,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO,RS,FREDERICO WESTPHALEN-RS,2025-10,1.8200,1.8686,-2.60,AMARELO,,Nao,Nao
1002,HORTIFRUTIGRANJEIROS,Banana Prata MG,SP,,2024-01,18.0412,36.2800,-50.27,VERDE,,Nao,Sim
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,RO,PORTO VELHO-RO,2025-07,5.6700,5.9343,-4.45,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,PI,,2025-08,6.1300,5.9243,3.47,AMARELO,,Nao,Nao
834,CEREAIS_GRAOS,FARINHA DE MANDIOCA - MÉDIA TIPO 1 SECA,AP,MACAPÁ-AP,2025-09,5.3900,5.9171,-8.91,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PB,GUARABIRA-PB,2025-09,26.0000,26.2329,-0.89,AMARELO,,Nao,Nao
928,HORTIFRUTIGRANJEIROS,Berinjela Comum,DF,"",2026-06,2.9200,2.7100,7.75,AMARELO,,Sim,Nao
1038,HORTIFRUTIGRANJEIROS,Melancia,RS,,2026-07,2.6300,2.5650,2.53,AMARELO,,Sim,Nao
786,PROTEINAS,LEITE DE VACA - LONGA VIDA INTEGRAL,AM,MANAUS-AM,2025-12,6.0300,6.6643,-9.52,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,SP,ITAPEVA-SP,2025-12,1.0800,1.0143,6.48,AMARELO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,SE,ITABAIANA-SE,2025-09,1.3600,1.3629,-0.21,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,PR,,2025-07,1.4900,1.3771,8.20,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,AC,RIO BRANCO-AC,2026-04,7.9400,6.3000,26.03,VERMELHO,,Nao,Nao
867,HORTIFRUTIGRANJEIROS,MILHO - EM GRÃOS,MS,,2025-08,0.8200,0.9814,-16.45,VERDE,,Nao,Nao
810,PROTEINAS,OVOS DE GALINHA - BRANCO EXTRA,ES,,2025-11,0.4000,0.4257,-6.04,AMARELO,,Nao,Nao
822,ALIMENTO_VAREJO,FEIJAO - COMUM CORES,SP,,2025-12,4.0300,3.8614,4.37,AMARELO,,Nao,Nao
1215,HORTIFRUTIGRANJEIROS,Maça Fuji Importada,SP,,2024-04,72.5032,104.3400,-30.51,VERDE,,Nao,Sim
859,PROTEINAS,CARNE BOVINA - PATINHO S/OSSO,PE,RECIFE-PE,2025-10,44.6700,44.9750,-0.68,AMARELO,,Nao,Nao
769,ALIMENTO_VAREJO,CAFE - MOÍDO E TORRADO,PI,,2025-11,68.7600,65.4743,5.02,AMARELO,,Nao,Nao
787,CEREAIS_GRAOS,ARROZ - LONGO FINO TIPO 1 58,RS,SÃO GABRIEL-RS,2025-12,1.0300,1.2214,-15.67,VERDE,,Nao,Nao
871,ALIMENTO_VAREJO,MAMAO - FORMOSA,ES,PINHEIROS-ES,2025-10,1.8400,1.8900,-2.65,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,SC,POUSO REDONDO-SC,2025-08,1.2700,1.1600,9.48,AMARELO,,Nao,Nao
858,PROTEINAS,CARNE BOVINA - COXÃO DURO S/OSSO,SC,FLORIANÓPOLIS-SC,2026-01,47.7700,48.9325,-2.38,AMARELO,,Nao,Nao
878,CEREAIS_GRAOS,FARINHA DE MANDIOCA - TIPO 1 BRANCA,PR,,2025-08,7.4400,7.5067,-0.89,AMARELO,,Nao,Nao
846,HORTIFRUTIGRANJEIROS,BATATA - NÃO INFORMADO,DF,BRASÍLIA-DF,2025-10,3.8600,4.0400,-4.46,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,MA,,2025-12,6.0600,5.6471,7.31,AMARELO,,Nao,Nao
898,PROTEINAS,CARNE CAPRINA - CARCAÇA,PI,,2025-07,24.2000,26.0343,-7.05,AMARELO,,Nao,Nao
909,CEREAIS_GRAOS,ARROZ - LONGO FINO EM CASCA,MA,,2025-08,1.5500,1.3586,14.09,AMARELO,,Nao,Nao
857,CEREAIS_GRAOS,FARINHA DE TRIGO - SEM FERMENTO,ES,VITÓRIA-ES,2025-07,3.6000,3.6229,-0.63,AMARELO,,Nao,Nao
776,ALIMENTO_VAREJO,FEIJAO - COMUM PRETO TIPO 1,CE,FORTALEZA-CE,2025-10,4.3500,5.4100,-19.59,VERDE,,Nao,Nao
904,ALIMENTO_VAREJO,FEIJAO - CAUPI,MT,SORRISO-MT,2025-08,2.1800,2.2200,-1.80,AMARELO,,Nao,Nao
768,ALIMENTO_VAREJO,FEIJAO - COMUM CORES TIPO 1,RJ,,2025-06,5.7200,5.9500,-3.87,AMARELO,,Nao,Nao
